tweet_id,tweet_text,polarity
1,“The hero we need but don’t deserve 😔” https://t.co/HbS4kyAD2m,positive
2,RT @swamilion: Nation wide manhunt against Dr Swamy - he entered parliament still and broke that long nose of Indira  and escaped unscathed…,positive
3,"RT @k9_retired: LPD K9, 14-year-old juvenile injured in officer-involved shooting 🙏for this brave #k9 #Hero who was shot twice🐕K9 Max put h…",neutral
4,RT @KlasraRauf: My Friend-Before thanking Modi sb do understand he considers Nehru villain not hero.His hero is Patel. Do you really live i…,neutral
5,Hero Flight Attendant Saves Girl From Human Trafficking | Good Morning B... https://t.co/gZly7tMXvH via @YouTube,positive
6,"RT @Troll_Rulers: He's always Our Hero, Motivation , Namma veettu Pillai😎🔥:-)

SPREAD IT TO THE CORE👑

#NammaVeettuPillaiSK https://t.co/vO…",positive
7,"RT @mugendaiyo: Of course I don't see the problem with Hero, I am the problem with Hero. https://t.co/myAbAAjxGF",positive
8,"Guys sorry for being so absent on the internet, I lost my Grandma on Monday. Just been kinda being here for my mom… https://t.co/lyfEjqoHPB",positive
9,"RT @CultCharanFan: O Timelo Other Hero
Hit Cinima Share
#Chiranjeevi Flop mv Share
Equal 👍
#HBDEvergreenMegaStar https://t.co/IBP8XH7sT9",neutral
10,"RT @SiddhuJSP: #MegaStarChiranjeevi Garu introducing @PawanKalyan to TFI.

#Chiranjeevi Garu is like my Father
#Chiranjeevi Garu  is my Fav…",positive
11,RT @mmement0: #kacchako hero team up! https://t.co/zmprLbHvhD,positive
12,"#Xbox One S 1TB With Games, Guitar Hero Guitar and Stereo Headset #eBay
⏰ Ends in 5h
💲 Last Price GBP 133.00
🔗… https://t.co/t6025k1UHw",neutral
13,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
14,a hero of our generation https://t.co/vKLzPUqFOX,positive
15,"RT @MaryLSchmidt: ""...will keep you captivated right along with Sammy as he 
unfolds his story about a horrific battle with cancer.""
https:…",negative
16,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
17,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
18,"RT @Beg1Girl: Good Morning Patriots:

WE WILL NEVER STOP 🛑

FIGHTING FOR @GenFlynn 

WE ARE WATCHING HISTORY UNFOLD. 🇺🇸

PLEASE DONATE TODA…",positive
19,"RT @SaviorOfAnimals: A VERY LUCKY DOG! Darling stray TATUM,3, had a euthanasia command today by NYCACC. But he had a hero who got him more…",positive
20,@LibyaLiberty He is at once both a folk hero and a religious figure to his supporters. “‘It is useless to attempt t… https://t.co/eTM5s0f4pe,negative
21,@SpacePirateUSA Handsome hero 👏🏾,positive
22,RT @AkshayKatariyaa: When congress used CBI to get Amit Shah instead of running he faced them  like a boss and today he is home minister of…,negative
23,RT @AkshayKatariyaa: When congress used CBI to get Amit Shah instead of running he faced them  like a boss and today he is home minister of…,negative
24,"RT @urschandu143: O Timelo Other Hero
Hit Cinima Share
#Chiranjeevi Flop mv Share
Equal 👍
#HBDEvergreenMegaStar https://t.co/jFlhDW2Z6S",neutral
25,"RT @carson_mapes: I can’t believe that I just FaceTimed my hero @EbenOfficial. What he said to me was so sweet and if all goes well, he’ll…",positive
26,"RT @theSATHYAGRAHI: He came as jr artist
then becm Villain
then becm multistarrer hero
then becm Hero
then becm Boss of Box office
then bec…",neutral
27,"RT @ietrending: Watch: Cop saves two-week-old baby from choking, Internet calls her a ‘hero’   https://t.co/ADE5MhdYtz",positive
28,Could’ve easily ran away but stayed behind and saved a life. HERO 👏🏻👏🏻 https://t.co/UzjxioXj7P,negative
29,@HarronWawker a hero among us,positive
30,"RT @benign0: #NinoyNotAHero... 
Being gunned down does not make one a hero. Ninoy Aquino is not a hero. 😮  https://t.co/rp6QnF6Kkz",positive
31,"RT @MinhazMerchant: If PC is in fact arrested, it will open up a can of worms for the Congress ecosystem. PC has links with TV channels, pr…",positive
32,RT @GarthHughesAnim: @garro_mark It's kinda obvious... But- https://t.co/whTENJFqQv,positive
33,Artur Boruc lifts lid on that Rangers blessing controversy as Celtic hero recalls hatred of Old ... -… https://t.co/vVof7l9FPP,positive
34,"@BetoORourke At this point, if trump built Hitler ovens, his cult would probably applaud him. America needs a hero to step up.",neutral
35,"RT @xCeleste___: It's the word HERO again...
Coincidence?? 

[@BTS_twt] https://t.co/nack8pAktI",neutral
36,"RT @ashokdhamija: So, Chidambaram is now formally absconding to evade arrest. Not picking up phone too. Location not known. This is the mor…",neutral
37,@SolidShOok Hero is such a garbage character in competitive play. That menu is aids,negative
38,"RT @buteracypher: BTS announced the hero concept in mama 2018, filmed the video before sperm dropped anything because they’re literally on…",positive
39,Now playing Hero by Mariah Carey!,positive
40,RT @CarolinaDawgs1: What a hero https://t.co/Zy1QG5jZxL,positive
41,"RT @FreeWikiPress: @xychelsea @SaveManning I made some Art for you ..hope you like it. This is one of them my dear #HERO ❤
#FreeChelseaMann…",positive
42,"RT @abhijitmajumder: That’s Amit Shah when CBI under UPA was about to take him in. Watch this, and compare with the #ChidambaramMissing far…",positive
43,"RT @y_unos: The Blessed Hero
#FGO #FateGO #アルジュナ https://t.co/MfXxscSSqB",positive
44,RT @garro_mark: This is a Vic Mignogna checkpoint! Drop a gif of your favorite character Vic has voiced ☺️ https://t.co/KFhOqZKRkV,positive
45,"RT @buse_chris: THE LAST DANCE
You are all invited. And please leave a comment.
https://t.co/boTKlhJZ62 https://t.co/WGcNtuy50z",positive
46,"RT @rishibagree: Tale of Two leaders 
Amit Shah surrendered himself to CBI 
While Chidambaram is absconding 
https://t.co/78GhAfkiA2",positive
