tweet_id,tweet_text,polarity
1,"@ggiittiikkaa congress is deep rooted in corruption, black money, power hungry.. #CongressMuktBharat",positive
2,"#AskSportsTak 
Kl average in test(opener)  - 36
Rohit average in test (6 or 7no) - 39.6 .
Why kl rahul is permanent… https://t.co/t3jRu1PXcE",neutral
3,"RT @DattaVikramjit: Those who support GST are anti national :- @PChidambaram_IN
How did Malaya and other runaway 
Government failure :- @PC…",neutral
4,"Check at @INCIndia headquarters, he may be hiding there, check sonia, rahul homes,he can hide there, even check SC… https://t.co/5Do89yNZI7",positive
5,"@RahulGandhi Ironically, A large section of so called ""Spineless"" Media is with Rahul and Anti Modi.",positive
6,@fayedsouza Rahul Gandhi from Standup comedian's Industry...,positive
7,@ashokepandit @rahul_sharma108 Hard earned money of taxpayers is not for leisure.,negative
8,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…",neutral
9,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…",neutral
10,"@RahulEaswar Crazy,in fact, dear Rahul. How on earth is this possible?",neutral
11,"RT @taran_adarsh: Akshaye Khanna... Character poster of #Section375... Costars Richa Chadha, Rahul Bhat and Meera Chopra... Directed by Aja…",negative
12,RT @iMac_too: Ignominy. Pappu @rahulgandhi family's consigliere is now officially an absconding offender https://t.co/kVYiFDqxkr,positive
13,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…",positive
14,@BeingRobinhood7 @RahulVerma4860 bro nothing against bollywood heroes.  Rahul is against south films so I am targetting at him.,positive
15,RT @AdityaRajKaul: Important. Setback for Pakistan. Senior US State Department official has just spoken off record to a group of journalist…,neutral
16,@GayatriBhargav1 @iamnagarjuna @Rakulpreet @23_rahulr MR. Rahul ur not fit for Director  with  Star Hero Nagarjuna,positive
17,"RT @5Forty3: Whether it is Imran Khan or Rahul Gandhi, all you see is sheer impotent anger directed against @narendramodi on Social Media a…",neutral
18,"RT @Swamy39: Nowadays Pioneer’s front page is giving the most clinically valid and correct reporting of PC type cases. Who does it:,The gre…",neutral
19,"Rahul Gandhi should ask himself  did they made #CBI accountable ,free from clutch of political pressure? Answer is… https://t.co/BBTO1APL0l",positive
20,"RT @DeccanHerald: Modi govt using ED, CBI and sections of media to assassinate the character of #Chidambaram: Rahul Gandhi. 

https://t.co/…",negative
